2000 5650
2000 1422 2
2050 1417 2
2100 1412 2
2150 1408 2
2200 1403 2
2250 1399 2
2300 1394 2
2350 1389 2
2400 1384 2
2450 1380 3
2500 1375 3
2550 1370 3
2600 1365 3
2650 1360 3
2700 1355 3
2750 1350 3
2800 1345 3
2850 1340 3
2900 1335 3
2950 1330 3
3000 1325 3
3050 1320 3
3100 1315 4
3150 1310 4
3200 1305 4
3250 1299 4
3300 1294 4
3350 1289 4
3400 1284 4
3450 1278 4
3500 1273 4
3550 1267 4
3600 1262 4
3650 1256 4
3700 1251 5
3750 1245 5
3800 1239 5
3850 1233 5
3900 1228 6
3950 1222 6
4000 1216 6
4050 1210 6
4100 1204 6
4150 1197 6
4200 1191 6
4250 1185 7
4300 1179 7
4350 1172 7
4400 1165 7
4450 1159 8
4500 1152 8
4550 1145 8
4600 1138 8
4650 1131 9
4700 1124 9
4750 1116 9
4800 1109 10
4850 1101 10
4900 1093 10
4950 1085 11
5000 1076 11
5050 1068 12
5100 1059 12
5150 1050 13
5200 1040 14
5250 1031 15
5300 1020 16
5350 1010 17
5400 999 19
5450 987 21
5500 974 23
5550 961 26
5600 946 30
5650 929 37
5700 911 52
