1450 4050
1450 1421 3
1500 1415 3
1550 1408 3
1600 1401 2
1650 1395 3
1700 1388 3
1750 1382 4
1800 1375 3
1850 1368 3
1900 1361 3
1950 1355 4
2000 1348 4
2050 1341 4
2100 1334 4
2150 1327 4
2200 1320 4
2250 1313 5
2300 1306 5
2350 1298 5
2400 1291 5
2450 1284 6
2500 1276 5
2550 1269 6
2600 1261 6
2650 1253 6
2700 1245 6 
2750 1237 6
2800 1229 6
2850 1221 7
2900 1213 7
2950 1204 7
3000 1196 8
3050 1187 8
3100 1178 8
3150 1169 9
3200 1160 9
3250 1151 10
3300 1141 10
3350 1131 11
3400 1121 12
3450 1111 13
3500 1100 13
3550 1089 14
3600 1078 16
3650 1066 17
3700 1053 17
3750 1040 19
3800 1027 21
3850 1012 23
3900 997 27
3950 980 31
4000 962 37
4050 941 48
4100 917 87
