1100 3000
1100 1421 3
1150 1413 4
1200 1404 4
1250 1395 3
1300 1387 4
1350 1378 4
1400 1369 4
1450 1360 4
1500 1351 5
1550 1342 5
1600 1333 5
1650 1324 6
1700 1314 6
1750 1305 6
1800 1296 7
1850 1286 7
1900 1276 7
1950 1266 8
2000 1256 8
2050 1246 9
2100 1235 9
2150 1224 9
2200 1214 10
2250 1202 10
2300 1192 12
2350 1180 12
2400 1168 13
2450 1155 13
2500 1143 14
2550 1130 15
2600 1116 16
2650 1102 17
2700 1088 19
2750 1073 21
2800 1057 24
2850 1040 27
2900 1022 31
2950 1002 36
3000 981 44
3050 956 60
