1750 4850
1750 1420 3
1800 1414 2
1850 1409 3
1900 1404 3
1950 1398 3
2000 1392 2
2050 1387 3
2100 1381 3
2150 1375 3
2200 1370 3
2250 1364 3
2300 1359 3
2350 1353 3
2400 1347 3
2450 1341 3
2500 1336 4
2550 1330 4
2600 1324 4
2650 1318 4
2700 1312 4
2750 1306 4
2800 1300 4
2850 1294 4
2900 1288 5
2950 1282 5
3000 1275 5
3050 1269 5
3100 1263 5
3150 1256 5
3200 1250 6
3250 1244 6
3300 1237 6
3350 1230 6
3400 1223 6
3450 1216 6
3500 1209 6
3550 1202 7
3600 1195 7
3650 1188 7
3700 1181 8
3750 1173 8
3800 1165 8
3850 1158 9
3900 1150 9
3950 1142 9
4000 1134 10
4050 1125 10
4100 1116 10
4150 1107 10
4200 1098 11
4250 1089 12
4300 1080 13
4350 1070 13
4400 1060 14
4450 1049 15
4500 1038 16
4550 1026 17
4600 1015 19
4650 1002 21
4700 988 23
4750 974 27
4800 958 31
4850 940 38
4900 921 53
